Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","13 of 1070"
"Citizenship","Foreign nationals"

,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Citizenship]",
"2004","Dartmouth College","Total for selected values","197",
"2004","Dartmouth College","Foreign nationals","197",
"2004","Duke University","Total for selected values","588",
"2004","Duke University","Foreign nationals","588",
"2004","Harvard University","Total for selected values","1,467",
"2004","Harvard University","Foreign nationals","1,467",
"2004","Massachusetts Institute of Technology","Total for selected values","2,133",
"2004","Massachusetts Institute of Technology","Foreign nationals","2,133",
"2004","Princeton University","Total for selected values","631",
"2004","Princeton University","Foreign nationals","631",
"2004","Stanford University","Total for selected values","2,215",
"2004","Stanford University","Foreign nationals","2,215",
"2004","University of Chicago","Total for selected values","458",
"2004","University of Chicago","Foreign nationals","458",
"2004","University of Pennsylvania","Total for selected values","786",
"2004","University of Pennsylvania","Foreign nationals","786",
"2004","Yale University","Total for selected values","611",
"2004","Yale University","Foreign nationals","611",
"2003","Total for selected values","Total for selected values","12,324",
"2003","Brown University","Total for selected values","382",
"2003","Brown University","Foreign nationals","382",
"2003","Columbia Univ in the City of New York","Total for selected values","1,154",
"2003","Columbia Univ in the City of New York","Foreign nationals","1,154",
"2003","Cornell University","Total for selected values","1,719",
"2003","Cornell University","Foreign nationals","1,719",
"2003","Dartmouth College","Total for selected values","184",
"2003","Dartmouth College","Foreign nationals","184",
"2003","Duke University","Total for selected values","555",
"2003","Duke University","Foreign nationals","555",
"2003","Harvard University","Total for selected values","1,322",
"2003","Harvard University","Foreign nationals","1,322",
"2003","Massachusetts Institute of Technology","Total for selected values","2,173",
"2003","Massachusetts Institute of Technology","Foreign nationals","2,173",
"2003","Princeton University","Total for selected values","673",
"2003","Princeton University","Foreign nationals","673",
"2003","Stanford University","Total for selected values","2,020",
"2003","Stanford University","Foreign nationals","2,020",
"2003","University of Chicago","Total for selected values","680",
"2003","University of Chicago","Foreign nationals","680",
"2003","University of Pennsylvania","Total for selected values","829",
"2003","University of Pennsylvania","Foreign nationals","829",
"2003","Yale University","Total for selected values","633",
"2003","Yale University","Foreign nationals","633",
"2002","Total for selected values","Total for selected values","12,080",
"2002","Brown University","Total for selected values","383",
"2002","Brown University","Foreign nationals","383",
"2002","Columbia Univ in the City of New York","Total for selected values","1,051",
"2002","Columbia Univ in the City of New York","Foreign nationals","1,051",
"2002","Cornell University","Total for selected values","1,669",
"2002","Cornell University","Foreign nationals","1,669",
"2002","Dartmouth College","Total for selected values","192",
"2002","Dartmouth College","Foreign nationals","192",
"2002","Duke University","Total for selected values","523",
"2002","Duke University","Foreign nationals","523",
"2002","Harvard University","Total for selected values","1,303",
"2002","Harvard University","Foreign nationals","1,303",
"2002","Massachusetts Institute of Technology","Total for selected values","2,194",
"2002","Massachusetts Institute of Technology","Foreign nationals","2,194",
"2002","Princeton University","Total for selected values","687",
"2002","Princeton University","Foreign nationals","687",
"2002","Stanford University","Total for selected values","2,109",
"2002","Stanford University","Foreign nationals","2,109",
"2002","University of Chicago","Total for selected values","618",
"2002","University of Chicago","Foreign nationals","618",
"2002","University of Pennsylvania","Total for selected values","791",
"2002","University of Pennsylvania","Foreign nationals","791",
"2002","Yale University","Total for selected values","560",
"2002","Yale University","Foreign nationals","560",
"2001","Total for selected values","Total for selected values","11,390",
"2001","Brown University","Total for selected values","368",
"2001","Brown University","Foreign nationals","368",
"2001","Columbia Univ in the City of New York","Total for selected values","997",
"2001","Columbia Univ in the City of New York","Foreign nationals","997",
"2001","Cornell University","Total for selected values","1,706",
"2001","Cornell University","Foreign nationals","1,706",
"2001","Dartmouth College","Total for selected values","157",
"2001","Dartmouth College","Foreign nationals","157",
"2001","Duke University","Total for selected values","484",
"2001","Duke University","Foreign nationals","484",
"2001","Harvard University","Total for selected values","1,280",
"2001","Harvard University","Foreign nationals","1,280",
"2001","Massachusetts Institute of Technology","Total for selected values","1,686",
"2001","Massachusetts Institute of Technology","Foreign nationals","1,686",
"2001","Princeton University","Total for selected values","668",
"2001","Princeton University","Foreign nationals","668",
"2001","Stanford University","Total for selected values","2,090",
"2001","Stanford University","Foreign nationals","2,090",
"2001","University of Chicago","Total for selected values","618",
"2001","University of Chicago","Foreign nationals","618",
"2001","University of Pennsylvania","Total for selected values","748",
"2001","University of Pennsylvania","Foreign nationals","748",
"2001","Yale University","Total for selected values","588",
"2001","Yale University","Foreign nationals","588",
"2000","Total for selected values","Total for selected values","10,654",
"2000","Brown University","Total for selected values","332",
"2000","Brown University","Foreign nationals","332",
"2000","Columbia Univ in the City of New York","Total for selected values","1,060",
"2000","Columbia Univ in the City of New York","Foreign nationals","1,060",
"2000","Cornell University","Total for selected values","1,537",
"2000","Cornell University","Foreign nationals","1,537",
"2000","Dartmouth College","Total for selected values","139",
"2000","Dartmouth College","Foreign nationals","139",
"2000","Duke University","Total for selected values","389",
"2000","Duke University","Foreign nationals","389",
"2000","Harvard University","Total for selected values","1,032",
"2000","Harvard University","Foreign nationals","1,032",
"2000","Massachusetts Institute of Technology","Total for selected values","1,681",
"2000","Massachusetts Institute of Technology","Foreign nationals","1,681",
"2000","Princeton University","Total for selected values","661",
"2000","Princeton University","Foreign nationals","661",
"2000","Stanford University","Total for selected values","1,952",
"2000","Stanford University","Foreign nationals","1,952",
"2000","University of Chicago","Total for selected values","616",
"2000","University of Chicago","Foreign nationals","616",
"2000","University of Pennsylvania","Total for selected values","696",
"2000","University of Pennsylvania","Foreign nationals","696",
"2000","Yale University","Total for selected values","559",
"2000","Yale University","Foreign nationals","559",
"1999","Total for selected values","Total for selected values","10,528",
"1999","Brown University","Total for selected values","329",
"1999","Brown University","Foreign nationals","329",
"1999","Columbia Univ in the City of New York","Total for selected values","957",
"1999","Columbia Univ in the City of New York","Foreign nationals","957",
"1999","Cornell University","Total for selected values","1,518",
"1999","Cornell University","Foreign nationals","1,518",
"1999","Dartmouth College","Total for selected values","105",
"1999","Dartmouth College","Foreign nationals","105",
"1999","Duke University","Total for selected values","317",
"1999","Duke University","Foreign nationals","317",
"1999","Harvard University","Total for selected values","1,364",
"1999","Harvard University","Foreign nationals","1,364",
"1999","Massachusetts Institute of Technology","Total for selected values","1,600",
"1999","Massachusetts Institute of Technology","Foreign nationals","1,600",
"1999","Princeton University","Total for selected values","596",
"1999","Princeton University","Foreign nationals","596",
"1999","Stanford University","Total for selected values","1,897",
"1999","Stanford University","Foreign nationals","1,897",
"1999","University of Chicago","Total for selected values","624",
"1999","University of Chicago","Foreign nationals","624",
"1999","University of Pennsylvania","Total for selected values","664",
"1999","University of Pennsylvania","Foreign nationals","664",
"1999","Yale University","Total for selected values","557",
"1999","Yale University","Foreign nationals","557",
"1998","Total for selected values","Total for selected values","9,822",
"1998","Brown University","Total for selected values","300",
"1998","Brown University","Foreign nationals","300",
"1998","Columbia Univ in the City of New York","Total for selected values","1,043",
"1998","Columbia Univ in the City of New York","Foreign nationals","1,043",
"1998","Cornell University","Total for selected values","1,455",
"1998","Cornell University","Foreign nationals","1,455",
"1998","Dartmouth College","Total for selected values","75",
"1998","Dartmouth College","Foreign nationals","75",
"1998","Duke University","Total for selected values","230",
"1998","Duke University","Foreign nationals","230",
"1998","Harvard University","Total for selected values","1,219",
"1998","Harvard University","Foreign nationals","1,219",
"1998","Massachusetts Institute of Technology","Total for selected values","1,524",
"1998","Massachusetts Institute of Technology","Foreign nationals","1,524",
"1998","Princeton University","Total for selected values","561",
"1998","Princeton University","Foreign nationals","561",
"1998","Stanford University","Total for selected values","1,615",
"1998","Stanford University","Foreign nationals","1,615",
