Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"2011","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","156",
"2011","Columbia University in the City of New York","Psychology","Total for selected values","36",
"2011","Columbia University in the City of New York","Psychology","Foreign nationals","5",
"2011","Columbia University in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2011","Columbia University in the City of New York","Social sciences","Total for selected values","672",
"2011","Columbia University in the City of New York","Social sciences","Foreign nationals","301",
"2011","Columbia University in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","371",
"2010","Total for selected values","Total for selected values","Total for selected values","4,600",
"2010","Columbia University in the City of New York","Total for selected values","Total for selected values","4,600",
"2010","Columbia University in the City of New York","Biological sciences","Total for selected values","740",
"2010","Columbia University in the City of New York","Biological sciences","Foreign nationals","175",
"2010","Columbia University in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","565",
"2010","Columbia University in the City of New York","Clinical medicine","Total for selected values","89",
"2010","Columbia University in the City of New York","Clinical medicine","Foreign nationals","12",
"2010","Columbia University in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","77",
"2010","Columbia University in the City of New York","Computer sciences","Total for selected values","429",
"2010","Columbia University in the City of New York","Computer sciences","Foreign nationals","314",
"2010","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","115",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","173",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","68",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","105",
"2010","Columbia University in the City of New York","Engineering","Total for selected values","1,591",
"2010","Columbia University in the City of New York","Engineering","Foreign nationals","940",
"2010","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","651",
"2010","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","418",
"2010","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","299",
"2010","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","119",
"2010","Columbia University in the City of New York","Other health","Total for selected values","214",
"2010","Columbia University in the City of New York","Other health","Foreign nationals","5",
"2010","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","209",
"2010","Columbia University in the City of New York","Physical sciences","Total for selected values","272",
"2010","Columbia University in the City of New York","Physical sciences","Foreign nationals","112",
"2010","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","160",
"2010","Columbia University in the City of New York","Psychology","Total for selected values","46",
"2010","Columbia University in the City of New York","Psychology","Foreign nationals","3",
"2010","Columbia University in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","43",
"2010","Columbia University in the City of New York","Social sciences","Total for selected values","628",
"2010","Columbia University in the City of New York","Social sciences","Foreign nationals","252",
"2010","Columbia University in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","376",
"2009","Total for selected values","Total for selected values","Total for selected values","4,196",
"2009","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,196",
"2009","Columbia Univ in the City of New York","Biological sciences","Total for selected values","746",
"2009","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","176",
"2009","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","570",
"2009","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","87",
"2009","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","14",
"2009","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","73",
"2009","Columbia Univ in the City of New York","Computer sciences","Total for selected values","400",
"2009","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","271",
"2009","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","129",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","193",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","65",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","128",
"2009","Columbia Univ in the City of New York","Engineering","Total for selected values","1,250",
"2009","Columbia Univ in the City of New York","Engineering","Foreign nationals","801",
"2009","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","449",
"2009","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","397",
"2009","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","275",
"2009","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","122",
"2009","Columbia Univ in the City of New York","Other health","Total for selected values","230",
"2009","Columbia Univ in the City of New York","Other health","Foreign nationals","6",
"2009","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","224",
"2009","Columbia Univ in the City of New York","Physical sciences","Total for selected values","246",
"2009","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","113",
"2009","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","133",
"2009","Columbia Univ in the City of New York","Psychology","Total for selected values","41",
"2009","Columbia Univ in the City of New York","Psychology","Foreign nationals","4",
"2009","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","37",
"2009","Columbia Univ in the City of New York","Social sciences","Total for selected values","606",
"2009","Columbia Univ in the City of New York","Social sciences","Foreign nationals","261",
"2009","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","345",
"2008","Total for selected values","Total for selected values","Total for selected values","4,325",
